"","x"
"1",0.00095390465488121
"2",0.00095390465488121
"3",0.00100020534344381
"4",0.00127228622412545
"5",0.00129188443168271
"6",0.00136032324023827
"7",0.00136582357132675
"8",0.00141383086050617
"9",0.00141383086050617
"10",0.00141383086050617
"11",0.00143743090828174
"12",0.00143910986526163
"13",0.00151712758464562
"14",0.00154996358138004
"15",0.00162581826333752
"16",0.00162910046313181
"17",0.00164186443417613
"18",0.00178268198103793
"19",0.00182703156933217
"20",0.00183433556000967
"21",0.00183433556000967
"22",0.00184753816674499
"23",0.00184753816674499
"24",0.00184753816674499
"25",0.00185307107426513
"26",0.00188664344362099
"27",0.00188664344362099
"28",0.00188664344362099
"29",0.00188875983945169
"30",0.00188875983945169
"31",0.00189740953490369
"32",0.00196027470524274
"33",0.00196027470524274
"34",0.00199148009870154
"35",0.00201809763569494
"36",0.00201809763569494
"37",0.00202758970678207
"38",0.0020658634525722
"39",0.0020658634525722
"40",0.00210174482811631
"41",0.00211985682123161
"42",0.00212637945652194
"43",0.00213364942195216
"44",0.0022107785826615
"45",0.00221392423061284
"46",0.00221392423061284
"47",0.00225190328487235
"48",0.00226649051259575
"49",0.00229898895643543
"50",0.00234204976851482
"51",0.00234284492789427
"52",0.00235333585481068
"53",0.00239121962048827
"54",0.00239121962048827
"55",0.00241192571293458
"56",0.00245061349746878
"57",0.002455615084205
"58",0.002455615084205
"59",0.00248150317734563
"60",0.00248150317734563
"61",0.00249737653892956
"62",0.0025250014119893
"63",0.00256769479257868
"64",0.00257975035479996
"65",0.00257975035479996
"66",0.00260526009953754
"67",0.0026117206223959
"68",0.0026117206223959
"69",0.0026117206223959
"70",0.0026117206223959
"71",0.00261238223442695
"72",0.00265256041713791
"73",0.00265256041713791
"74",0.00265256041713791
"75",0.00268919186281369
"76",0.00268919186281369
"77",0.00268982933790995
"78",0.00268982933790995
"79",0.00269157710920531
"80",0.00271717042840358
"81",0.002728547316178
"82",0.002728547316178
"83",0.002728547316178
"84",0.00272893850267064
"85",0.002743580919772
"86",0.002743580919772
"87",0.00274545657399228
"88",0.00274814764615916
"89",0.00274898952515545
"90",0.00274898952515545
"91",0.00274989313735785
"92",0.00274989313735785
"93",0.00276001597397157
"94",0.00278083376441474
"95",0.00278366962047916
"96",0.00279047469777383
"97",0.0028014872344595
"98",0.00280479198650474
"99",0.00280547935603148
"100",0.00281119072387304
"101",0.00284219934255936
"102",0.00284490311697971
"103",0.00284490311697971
"104",0.00288664027149954
"105",0.00288664027149954
"106",0.00288695498308589
"107",0.00288695498308589
"108",0.002894715020342
"109",0.002894715020342
"110",0.00293180005191174
"111",0.00294427723236013
"112",0.00294996672659698
"113",0.00294996672659698
"114",0.00296399230287536
"115",0.00296986887271278
"116",0.00298102850126669
"117",0.0029893014059641
"118",0.00301214989926013
"119",0.00301666264830025
"120",0.00303197434511226
"121",0.00303478209602226
"122",0.00304854281047018
"123",0.00305357636087866
"124",0.00305357636087866
"125",0.00305760327846194
"126",0.00305760327846194
"127",0.00305995959653493
"128",0.00306842744781144
"129",0.00307235516157955
"130",0.00307637428053398
"131",0.00308939555985199
"132",0.00310373456163937
"133",0.00310373456163937
"134",0.00310469048329376
